Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,c1,c2,Neighbourhood size,Inertia,alpha,Maximum Velocity
True,[ 0.0547342 ],5.37626e-08,16,500,0.0086684,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0906367 ],5.52699e-08,16,500,0.0198645,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0316865 ],5.49959e-08,16,500,0.0168774,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.00715305 ],7.4266e-11,16,500,0.0239885,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.079741 ],5.85137e-08,16,500,0.0410098,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.03368 ],9.98784e-08,16,500,0.051806,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0399793 ],3.86933e-08,16,500,0.0496632,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0703906 ],1.7278e-08,16,500,0.070311,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0547328 ],4.28905e-08,16,500,0.011072,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0906369 ],1.03529e-08,16,500,0.0146847,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0316862 ],3.7354e-10,16,500,0.0182032,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.00715289 ],5.01395e-08,16,500,0.0262198,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0797412 ],4.34732e-09,16,500,0.0408652,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0336798 ],6.81559e-09,16,500,0.04778,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0399792 ],2.09889e-08,16,500,0.0534383,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0703908 ],4.71872e-08,16,500,0.0700321,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0547339 ],1.56122e-08,16,500,0.008491,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0906375 ],2.68819e-08,16,500,0.0294846,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0316858 ],7.96126e-08,16,500,0.0202868,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.00715288 ],5.7873e-08,16,500,0.0212951,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0797415 ],2.40198e-08,16,500,0.0304339,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0336796 ],9.55954e-08,16,500,0.0465157,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0399794 ],9.20954e-08,16,500,0.0680308,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0703907 ],4.48945e-09,16,500,0.0535012,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0554825 ],8.02349e-10,16,500,0.0084401,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0926912 ],2.50464e-08,16,500,0.0196465,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0319372 ],3.03648e-11,16,500,0.0149322,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.00716594 ],1.437e-08,16,500,0.0248937,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0813314 ],9.16658e-08,16,500,0.0325283,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0339632 ],9.86949e-08,16,500,0.0617272,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0403788 ],1.10712e-09,16,500,0.0758878,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0716295 ],7.12825e-09,16,500,0.0892803,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
