Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Crossover Rate,Mutation Scale Factor
False,[ 0.0735699 -1.24813 0.0816435 1.9626 1.95784 3.61929 ],0.648442,60,400,0.462232,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,0.99
False,[ 0.074228 -0.220796 0.026244 0.235035 1.48097 3.33283 ],0.370648,30,400,0.2274,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],30,0.01,400,0.6,0.99
False,[ 0.0739183 0.537227 -0.162568 -1.08487 2.26949 4.85196 ],0.263541,30,400,0.228658,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],30,0.01,400,0.6,0.99
False,[ 0.0745311 0.534178 -0.140563 -1.02553 2.0931 4.12237 ],0.292231,30,400,0.23276,[ 0.0262757 0.0408676 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],30,0.01,400,0.6,0.99
False,[ 0.0743117 0.652351 -0.092777 -1.24761 2.07113 3.77693 ],0.242787,30,400,0.231402,[ 0.0262756 0.0408678 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],30,0.01,400,0.6,0.99
False,[ 0.0745366 -0.0578978 -0.106677 0.021408 2.40903 3.10723 ],0.251571,30,400,0.245816,[ 0.0262743 0.040869 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],30,0.01,400,0.6,0.99
False,[ 0.0745963 0.629122 -0.0545145 -1.08417 2.47582 3.70441 ],0.85852,30,200,0.122428,[ 0.0262752 0.0408683 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],30,0.01,200,0.6,0.99
False,[ 0.0741761 0.0545925 0.0554256 -0.322916 2.07097 2.90897 ],0.177786,30,600,0.33467,[ 0.0262743 0.0408692 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],30,0.01,600,0.6,0.99
False,[ 0.0741286 0.443783 -0.00473129 -0.943716 2.15984 3.6082 ],0.174016,30,1000,0.564403,[ 0.0262742 0.0408692 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],30,0.01,1000,0.6,0.99
False,[ 0.0742371 2.25672 -0.25331 -3.82316 2.5 4.43464 ],0.171193,40,5000,3.54784,[ 0.0262747 0.0408688 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],40,0.01,5000,0.6,0.99
False,[ 0.0742371 2.25649 -0.253297 -3.82277 2.5 4.43465 ],0.171193,40,5000,3.66393,[ 0.0262752 0.0408681 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],40,0.01,5000,0.6,0.99
False,[ 0.0741763 1.37418 -0.1224 -2.42409 2.39775 4.16778 ],0.171896,40,5000,4.15599,[ 0.0262748 0.0408687 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],40,0.01,5000,0.6,0.99
False,[ 0.074324 -4.85432e+11 4.85432e+11 -3.68572 1977.54 5.94567 ],0.172485,40,5000,7.30997,[ 0.0262752 0.0408683 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],40,0.01,5000,0.6,0.99
